iso3c,year,export_price_shock,n_commodities,total_export_share
AGO,2004,24.99855092354401,10,100.00000096120891
AGO,2005,40.9123516782746,10,100.00312242825505
AGO,2006,21.107792422861785,10,100.00000324840093
AGO,2007,7.564344974768205,3,99.99999999999999
AGO,2008,32.491801687913124,10,100.00003743395669
AGO,2009,-34.304450970323344,3,100
AGO,2010,29.855863326355855,3,99.99999999999999
AGO,2011,28.451856482715908,3,100.00000000000003
AGO,2012,3.1466276381148215,3,100
AGO,2013,-0.6129571810299528,3,99.99999999999999
AGO,2014,-7.734024525049267,3,99.99999999999997
AGO,2015,-42.95981602322968,10,100.05471759051893
AGO,2016,-13.775024168373138,10,100.00281684745711
AGO,2017,21.8775952456786,10,100.0000554855452
AGO,2018,26.729270403666384,10,100.0009506114117
AGO,2019,-8.154170942332827,10,100.00631080793204
AGO,2020,-29.194023210927423,9,100.00164787736907
AGO,2021,60.50442534266112,10,100.00015018619852
AGO,2022,43.405343429823496,10,100.00040071867419
ALB,2001,-7.175494573895716,10,100.08079239012062
ALB,2002,-2.0428785110328445,9,100.1001668135762
ALB,2003,9.142777360167464,9,100.09561934794422
ALB,2004,30.106759384820144,10,100.0110025883267
ALB,2005,38.13773378832221,9,100.00182980793483
ALB,2006,39.62404348889204,10,100.00985599351854
ALB,2007,7.406945192973218,9,100.108065399112
ALB,2008,38.28826663145793,10,100.0138319027501
ALB,2009,-14.898704913439671,10,100.01869793292448
ALB,2010,43.84676043668855,10,100.01318761812242
ALB,2011,24.215804132906648,10,100.0230737754253
ALB,2012,-2.3879697446772687,10,100.0087548106644
ALB,2013,-0.13396516338336054,10,100.01029853236449
ALB,2014,-19.292025519460914,7,99.99999999999999
ALB,2015,-38.18426609926522,9,100.010022791275
ALB,2016,-7.9128626730353275,10,100.06136921292332
ALB,2017,21.77746463604473,6,100
ALB,2018,12.372964429181742,6,99.99999999999999
ALB,2019,19.450102297572077,7,99.99999999999999
ALB,2020,-0.07336691397232699,7,100
ALB,2021,45.58261859813314,5,100
ALB,2022,41.25563999481061,4,100
AND,2001,-0.2792062162712338,7,100
AND,2002,-0.47311272656343706,6,100
AND,2003,4.730023871910896,5,100
AND,2004,-0.8645359016177321,6,100.00000000000001
AND,2005,2.786071993220242,8,100
AND,2006,7.208873486485354,8,100
AND,2007,5.5025263650843526,7,100
AND,2008,10.65249781518648,9,100.08617836542129
AND,2009,-5.672790220786094,9,100.08887895073761
AND,2010,29.67362022412564,7,100
AND,2011,25.736121150784093,7,100.00000000000001
AND,2012,3.570687694295828,7,100.00000000000001
AND,2013,-14.049126222060885,7,100
AND,2014,-8.29574150593231,6,100
AND,2015,-9.724307326061073,6,100
AND,2016,5.197952737655652,9,100.000192372192
AND,2017,3.1738526132209834,7,99.99999999999999
AND,2018,1.9811839632434713,7,100
AND,2019,6.196447052824826,7,100
AND,2020,23.330469115442746,8,100
AND,2021,7.196341369882,8,100
AND,2022,0.2608744888992293,8,100
ARG,2001,-9.913682981468922,10,130.4432211771632
ARG,2002,9.912898317246867,10,127.36490096332243
ARG,2003,7.810745951357494,10,126.47849418228364
ARG,2004,24.301942690681322,10,126.267050676638
ARG,2005,34.49404321285131,10,125.61307423382591
ARG,2006,24.705877878461152,10,122.99926611882138
ARG,2007,20.96957560989416,10,134.31880838969096
ARG,2008,75.8528399030553,10,141.13309164520604
ARG,2009,-26.094910313063252,10,125.86955427108674
ARG,2010,23.81478664658372,10,129.95164345654905
ARG,2011,35.22502491449372,10,142.96786128321563
ARG,2012,-0.21486237167500108,10,146.41471164515107
ARG,2013,-9.775993932672199,10,150.01774372532446
ARG,2014,-16.28744428849307,10,141.1368746249671
ARG,2015,-28.030716363716348,10,146.55380007257008
ARG,2016,-11.303963845441723,10,154.7923123683004
ARG,2017,7.734808179367224,10,153.4236003141531
ARG,2018,22.45892567394957,9,158.20562293253116
ARG,2019,-9.071269027780074,9,164.88513172008564
ARG,2020,24.212495287494452,9,174.4773967026984
ARG,2021,37.95225799785027,9,179.37020671048225
ARG,2022,32.20107214494962,9,167.76205964056234
ARM,2001,-3.931424890944653,8,100
ARM,2002,10.721951440488922,10,100.00077017971776
ARM,2003,14.989892222384569,8,100.00248552443287
ARM,2004,18.564124170318205,7,99.99999999999999
ARM,2005,18.84064517646291,10,100.00034256633425
ARM,2006,38.592226962411566,8,100
ARM,2007,10.757076197205013,10,100.00002463355597
ARM,2008,30.445353678609816,10,100.00077462595262
ARM,2009,2.4029605776390044,10,100.0000227677614
ARM,2010,52.7540107447842,10,100.00118903496708
ARM,2011,19.506197043968896,10,100.00058596227814
