iso3c,country,year,total_cases_per_million,total_deaths_per_million,excess_mortality,vaccination_rate,full_vaccination_rate,booster_rate,peak_icu_patients,peak_hosp_patients,avg_stringency,population
ABW,Aruba,2020,48500.82,436.02,570.37,NA,NA,NA,NA,NA,45.664226519337,106459
ABW,Aruba,2021,159241.88,1679.16,3305.71,79.61,74.21,NA,NA,NA,42.77775342465753,106459
ABW,Aruba,2022,405892.84,2597.6,NA,84.68,78.89,NA,NA,NA,26.78898630136986,106459
ABW,Aruba,2023,410271.62,2708.92,NA,85.04,79.24,NA,NA,NA,NA,106459
ABW,Aruba,2024,410271.62,2708.92,NA,85.05,79.25,NA,NA,NA,NA,106459
AFG,Afghanistan,2020,1277.71,53.18,NA,NA,NA,NA,NA,NA,41.94569060773484,41128772
AFG,Afghanistan,2021,3891.24,181.18,NA,10.07,9.13,NA,NA,NA,29.2422191780822,41128772
AFG,Afghanistan,2022,5109.12,193.33,NA,27.86,26.15,NA,NA,NA,11.415643835616454,41128772
AFG,Afghanistan,2023,5677.22,196.48,NA,46.56,44.67,6.64,NA,NA,NA,41128772
AFG,Afghanistan,2024,5796.47,197.1,NA,NA,NA,NA,NA,NA,NA,41128772
AGO,Angola,2020,481.24,11.22,NA,NA,NA,NA,NA,NA,58.971408839778995,35588996
AGO,Angola,2021,1996.41,49,NA,21.59,11.04,NA,NA,NA,58.86306849315068,35588996
AGO,Angola,2022,2948.5,54.13,NA,42.12,23.19,4.09,NA,NA,37.65684931506848,35588996
AGO,Angola,2023,3000.64,54.36,NA,46.5,27,8.62,NA,NA,NA,35588996
AGO,Angola,2024,3016.16,54.36,NA,NA,NA,NA,NA,NA,NA,35588996
AIA,Anguilla,2020,844.95,0,NA,NA,NA,NA,NA,NA,NA,15877
AIA,Anguilla,2021,115899.17,352.06,NA,63.48,58.09,6.19,NA,NA,NA,15877
AIA,Anguilla,2022,274890.88,844.95,NA,68.35,65.33,18.88,NA,NA,NA,15877
AIA,Anguilla,2023,274890.88,844.95,NA,68.36,65.38,20.84,NA,NA,NA,15877
AIA,Anguilla,2024,274890.88,844.95,NA,NA,NA,NA,NA,NA,NA,15877
ALB,Albania,2020,19585.41,401.04,2027.45,NA,NA,NA,NA,NA,55.80602209944752,2842318
ALB,Albania,2021,73284.73,1127.1,5133.62,40.16,36.28,5.07,NA,NA,48.59090410958905,2842318
ALB,Albania,2022,117650.39,1271.74,5584.03,47.22,44.68,13.27,NA,NA,21.522547945205496,2842318
ALB,Albania,2023,118331.52,1274.57,5040.67,47.47,45.01,14.16,NA,NA,NA,2842318
ALB,Albania,2024,118491.02,1274.93,NA,NA,NA,NA,NA,NA,NA,2842318
AND,Andorra,2020,97915.26,1041.12,1152.81,NA,NA,NA,NA,NA,38.639281767955815,79843
AND,Andorra,2021,272572.2,1743.56,1773.4,71.5,64.37,10.98,NA,NA,49.393643835616444,79843
AND,Andorra,2022,598153.56,1981.89,NA,72.52,66.99,53.88,NA,NA,12.836712328767142,79843
AND,Andorra,2023,602280.44,1994.43,NA,72.53,67.01,53.94,NA,NA,NA,79843
AND,Andorra,2024,602280.44,1994.43,NA,NA,NA,NA,NA,NA,NA,79843
ARE,United Arab Emirates,2020,19614.37,63.95,122.64,NA,NA,NA,NA,NA,50.96588397790054,9441138
ARE,United Arab Emirates,2021,73181.39,210.5,386.5,104.66,95.96,36.61,NA,NA,51.08317808219177,9441138
ARE,United Arab Emirates,2022,102181.24,229.25,NA,105.83,103.72,54.43,NA,NA,31.20030136986302,9441138
ARE,United Arab Emirates,2023,104180.94,229.35,NA,NA,NA,NA,NA,NA,NA,9441138
ARE,United Arab Emirates,2024,104180.94,229.35,NA,NA,NA,NA,NA,NA,NA,9441138
ARG,Argentina,2020,35894.81,1046.23,801.76,0.1,0,0,112.48,NA,71.3655191256831,45510324
ARG,Argentina,2021,122443.8,2594.92,2887.62,85.31,67.63,13.59,175.1,NA,66.84098630136987,45510324
ARG,Argentina,2022,217828.58,2865.67,4093.72,91.03,76.48,74.46,64.71,NA,19.029013698630138,45510324
ARG,Argentina,2023,221216.05,2873.33,NA,91.24,76.69,82.31,NA,NA,NA,45510324
ARG,Argentina,2024,222455.06,2877.54,NA,91.25,76.69,82.87,NA,NA,NA,45510324
ARM,Armenia,2020,54786.68,960.82,3572.84,NA,NA,NA,NA,NA,NA,2780472
ARM,Armenia,2021,119574.8,2757.14,7123.47,33.59,24.89,0.02,NA,NA,NA,2780472
ARM,Armenia,2022,154668.89,3022.68,8041.94,40.23,35.45,1.46,NA,NA,NA,2780472
ARM,Armenia,2023,156697.1,3045.94,8289.06,41.39,37.07,2.93,NA,NA,NA,2780472
ARM,Armenia,2024,156991.11,3046.64,NA,NA,NA,NA,NA,NA,NA,2780472
ASM,American Samoa,2020,0,0,NA,NA,NA,NA,NA,NA,NA,44295
ASM,American Samoa,2021,227.44,0,NA,NA,NA,NA,NA,NA,NA,44295
ASM,American Samoa,2022,170908.72,702.99,NA,NA,NA,NA,NA,NA,NA,44295
ASM,American Samoa,2023,172831.6,702.99,NA,NA,NA,NA,NA,NA,NA,44295
ASM,American Samoa,2024,172831.6,702.99,NA,NA,NA,NA,NA,NA,NA,44295
ATG,Antigua and Barbuda,2020,1669.34,53.85,-623.71,NA,NA,NA,NA,NA,NA,93772
ATG,Antigua and Barbuda,2021,45546.09,1270.85,-654.3,66.42,62.77,NA,NA,NA,NA,93772
ATG,Antigua and Barbuda,2022,98071.1,1572.41,NA,68.56,66.53,10.49,NA,NA,NA,93772
ATG,Antigua and Barbuda,2023,98071.1,1572.41,NA,NA,NA,NA,NA,NA,NA,93772
ATG,Antigua and Barbuda,2024,98071.1,1572.41,NA,NA,NA,NA,NA,NA,NA,93772
AUS,Australia,2020,1079.96,35.11,-130.95,NA,NA,NA,3.67,26.51,56.47168508287295,26177410
AUS,Australia,2021,13992.11,90.72,59.66,78.1,75.47,9.09,11.92,61.31,61.46345205479453,26177410
AUS,Australia,2022,408154.12,679.97,919.67,84.93,82.7,75.22,16.2,212.82,24.249397260273973,26177410
AUS,Australia,2023,447369.97,929.12,1386.02,NA,NA,75.6,4.62,140.01,NA,26177410
AUS,Australia,2024,452699,963.17,NA,NA,NA,NA,NA,NA,NA,26177410
AUT,Austria,2020,38030.25,777.63,805.03,NA,NA,NA,79.31,524.52,47.58527624309391,8939617
AUT,Austria,2021,138128.22,1829.85,1624.46,75.03,70.64,44.66,74.28,382.01,61.62435616438358,8939617
AUT,Austria,2022,626425.4,2379.68,2567.49,77.16,74.73,60.39,36.13,370.82,38.745479452054795,8939617
AUT,Austria,2023,670974.6,2485.91,3178.02,77.18,74.76,60.47,10.29,176.96,NA,8939617
AUT,Austria,2024,671004.9,2485.91,NA,NA,NA,NA,NA,NA,NA,8939617
