iso3c,country.name.en,continent,region,landlocked,distance_to_coast
AFG,Afghanistan,Asia,South Asia,1,1000
ALB,Albania,Europe,Europe & Central Asia,0,0
DZA,Algeria,Africa,Middle East & North Africa,0,0
ASM,American Samoa,Oceania,East Asia & Pacific,0,0
AND,Andorra,Europe,Europe & Central Asia,1,1000
AGO,Angola,Africa,Sub-Saharan Africa,0,0
AIA,Anguilla,Americas,Latin America & Caribbean,0,0
ATA,Antarctica,Antarctica,NA,0,0
ATG,Antigua & Barbuda,Americas,Latin America & Caribbean,0,0
ARG,Argentina,Americas,Latin America & Caribbean,0,0
ARM,Armenia,Asia,Europe & Central Asia,1,1000
ABW,Aruba,Americas,Latin America & Caribbean,0,0
AUS,Australia,Oceania,East Asia & Pacific,0,0
AUT,Austria,Europe,Europe & Central Asia,1,1000
AZE,Azerbaijan,Asia,Europe & Central Asia,1,1000
BHS,Bahamas,Americas,Latin America & Caribbean,0,0
BHR,Bahrain,Asia,Middle East & North Africa,0,0
BGD,Bangladesh,Asia,South Asia,0,0
BRB,Barbados,Americas,Latin America & Caribbean,0,0
BLR,Belarus,Europe,Europe & Central Asia,1,1000
BEL,Belgium,Europe,Europe & Central Asia,0,0
BLZ,Belize,Americas,Latin America & Caribbean,0,0
BEN,Benin,Africa,Sub-Saharan Africa,0,0
BMU,Bermuda,Americas,North America,0,0
BTN,Bhutan,Asia,South Asia,0,0
BOL,Bolivia,Americas,Latin America & Caribbean,1,1000
BIH,Bosnia & Herzegovina,Europe,Europe & Central Asia,0,0
BWA,Botswana,Africa,Sub-Saharan Africa,1,1000
BVT,Bouvet Island,NA,NA,0,0
BRA,Brazil,Americas,Latin America & Caribbean,0,0
IOT,British Indian Ocean Territory,NA,NA,0,0
VGB,British Virgin Islands,Americas,Latin America & Caribbean,0,0
BRN,Brunei,Asia,East Asia & Pacific,0,0
BGR,Bulgaria,Europe,Europe & Central Asia,0,0
BFA,Burkina Faso,Africa,Sub-Saharan Africa,1,1000
BDI,Burundi,Africa,Sub-Saharan Africa,1,1000
KHM,Cambodia,Asia,East Asia & Pacific,0,0
CMR,Cameroon,Africa,Sub-Saharan Africa,0,0
CAN,Canada,Americas,North America,0,0
CPV,Cape Verde,Africa,Sub-Saharan Africa,0,0
BES,Caribbean Netherlands,Americas,Latin America & Caribbean,0,0
CYM,Cayman Islands,Americas,Latin America & Caribbean,0,0
CAF,Central African Republic,Africa,Sub-Saharan Africa,1,1000
TCD,Chad,Africa,Sub-Saharan Africa,1,1000
CHL,Chile,Americas,Latin America & Caribbean,0,0
CHN,China,Asia,East Asia & Pacific,0,0
CXR,Christmas Island,Oceania,East Asia & Pacific,0,0
CCK,Cocos (Keeling) Islands,NA,East Asia & Pacific,0,0
COL,Colombia,Americas,Latin America & Caribbean,0,0
COM,Comoros,Africa,Sub-Saharan Africa,0,0
COG,Congo - Brazzaville,Africa,Sub-Saharan Africa,0,0
COD,Congo - Kinshasa,Africa,Sub-Saharan Africa,0,0
COK,Cook Islands,Oceania,East Asia & Pacific,0,0
CRI,Costa Rica,Americas,Latin America & Caribbean,0,0
HRV,Croatia,Europe,Europe & Central Asia,0,0
