commodity,year,price_index,price_change
Petroleum,2000,,
Petroleum,2001,,
Petroleum,2002,,
Petroleum,2003,,
Petroleum,2004,,
Petroleum,2005,,
Petroleum,2006,,
Petroleum,2007,,
Petroleum,2008,,
Petroleum,2009,,
Petroleum,2010,,
Petroleum,2011,,
Petroleum,2012,,
Petroleum,2013,,
Petroleum,2014,,
Petroleum,2015,,
Petroleum,2016,,
Petroleum,2017,,
Petroleum,2018,,
Petroleum,2019,,
Petroleum,2020,,
Petroleum,2021,,
Petroleum,2022,,
Copper,2000,,
Copper,2001,,
Copper,2002,,
Copper,2003,,
Copper,2004,,
Copper,2005,,
Copper,2006,,
Copper,2007,,
Copper,2008,,
Copper,2009,,
Copper,2010,,
Copper,2011,,
Copper,2012,,
Copper,2013,,
Copper,2014,,
Copper,2015,,
Copper,2016,,
Copper,2017,,
Copper,2018,,
Copper,2019,,
Copper,2020,,
Copper,2021,,
Copper,2022,,
Cocoa,2000,,
Cocoa,2001,,
Cocoa,2002,,
Cocoa,2003,,
Cocoa,2004,,
Cocoa,2005,,
Cocoa,2006,,
Cocoa,2007,,
Cocoa,2008,,
Cocoa,2009,,
Cocoa,2010,,
Cocoa,2011,,
Cocoa,2012,,
Cocoa,2013,,
Cocoa,2014,,
Cocoa,2015,,
Cocoa,2016,,
Cocoa,2017,,
Cocoa,2018,,
Cocoa,2019,,
Cocoa,2020,,
Cocoa,2021,,
Cocoa,2022,,
Coffee,2000,,
Coffee,2001,,
Coffee,2002,,
Coffee,2003,,
Coffee,2004,,
Coffee,2005,,
Coffee,2006,,
Coffee,2007,,
Coffee,2008,,
Coffee,2009,,
Coffee,2010,,
Coffee,2011,,
Coffee,2012,,
Coffee,2013,,
Coffee,2014,,
Coffee,2015,,
Coffee,2016,,
Coffee,2017,,
Coffee,2018,,
Coffee,2019,,
Coffee,2020,,
Coffee,2021,,
Coffee,2022,,
Gold,2000,,
Gold,2001,,
Gold,2002,,
Gold,2003,,
Gold,2004,,
Gold,2005,,
Gold,2006,,
Gold,2007,,
Gold,2008,,
Gold,2009,,
Gold,2010,,
Gold,2011,,
Gold,2012,,
Gold,2013,,
Gold,2014,,
Gold,2015,,
Gold,2016,,
Gold,2017,,
Gold,2018,,
Gold,2019,,
Gold,2020,,
Gold,2021,,
Gold,2022,,
Aluminum,2000,,
Aluminum,2001,,
Aluminum,2002,,
Aluminum,2003,,
Aluminum,2004,,
Aluminum,2005,,
Aluminum,2006,,
Aluminum,2007,,
Aluminum,2008,,
Aluminum,2009,,
Aluminum,2010,,
Aluminum,2011,,
Aluminum,2012,,
Aluminum,2013,,
Aluminum,2014,,
Aluminum,2015,,
Aluminum,2016,,
Aluminum,2017,,
Aluminum,2018,,
Aluminum,2019,,
Aluminum,2020,,
Aluminum,2021,,
Aluminum,2022,,
Iron Ore,2000,,
Iron Ore,2001,,
Iron Ore,2002,,
Iron Ore,2003,,
Iron Ore,2004,,
Iron Ore,2005,,
Iron Ore,2006,,
Iron Ore,2007,,
Iron Ore,2008,,
Iron Ore,2009,,
Iron Ore,2010,,
Iron Ore,2011,,
Iron Ore,2012,,
Iron Ore,2013,,
Iron Ore,2014,,
Iron Ore,2015,,
Iron Ore,2016,,
Iron Ore,2017,,
Iron Ore,2018,,
Iron Ore,2019,,
Iron Ore,2020,,
Iron Ore,2021,,
Iron Ore,2022,,
Wheat,2000,,
Wheat,2001,,
Wheat,2002,,
Wheat,2003,,
Wheat,2004,,
Wheat,2005,,
Wheat,2006,,
Wheat,2007,,
Wheat,2008,,
Wheat,2009,,
Wheat,2010,,
Wheat,2011,,
Wheat,2012,,
Wheat,2013,,
Wheat,2014,,
Wheat,2015,,
Wheat,2016,,
Wheat,2017,,
Wheat,2018,,
Wheat,2019,,
Wheat,2020,,
Wheat,2021,,
Wheat,2022,,
Rice,2000,,
Rice,2001,,
Rice,2002,,
Rice,2003,,
Rice,2004,,
Rice,2005,,
Rice,2006,,
Rice,2007,,
Rice,2008,,
Rice,2009,,
Rice,2010,,
Rice,2011,,
Rice,2012,,
Rice,2013,,
Rice,2014,,
Rice,2015,,
Rice,2016,,
Rice,2017,,
Rice,2018,,
Rice,2019,,
Rice,2020,,
Rice,2021,,
Rice,2022,,
Sugar,2000,,
Sugar,2001,,
Sugar,2002,,
Sugar,2003,,
Sugar,2004,,
Sugar,2005,,
Sugar,2006,,
Sugar,2007,,
Sugar,2008,,
Sugar,2009,,
Sugar,2010,,
Sugar,2011,,
Sugar,2012,,
Sugar,2013,,
Sugar,2014,,
Sugar,2015,,
Sugar,2016,,
Sugar,2017,,
Sugar,2018,,
Sugar,2019,,
Sugar,2020,,
Sugar,2021,,
Sugar,2022,,
