Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3922,WHOSIS_000015,COUNTRY,UGA,AFR,YEAR,Africa,SEX,SEX_MLE,2020,NA,NA,NA,NA,NA,NA,15.0 [14.4-15.6],14.98781414,14.43057212,15.55777862,NA,2024-08-02T10:09:37.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5033,WHOSIS_000015,COUNTRY,ATG,AMR,YEAR,Americas,SEX,SEX_FMLE,2011,NA,NA,NA,NA,NA,NA,21.5 [21.3-21.8],21.49875697,21.2587997,21.78013615,NA,2024-08-02T10:09:37.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5866,WHOSIS_000015,COUNTRY,GRC,EUR,YEAR,Europe,SEX,SEX_MLE,2005,NA,NA,NA,NA,NA,NA,21.3 [21.2-21.3],21.26011057,21.23852161,21.31308332,NA,2024-08-02T10:09:37.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6007,WHOSIS_000015,COUNTRY,PRI,AMR,YEAR,Americas,SEX,SEX_MLE,2014,NA,NA,NA,NA,NA,NA,22.8 [22.7-22.9],22.79152738,22.71246169,22.89815871,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6272,WHOSIS_000015,COUNTRY,BRN,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2021,NA,NA,NA,NA,NA,NA,21.3 [21.1-21.7],21.34500839,21.05494225,21.73949636,NA,2024-08-02T10:09:37.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9199,WHOSIS_000015,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2016,NA,NA,NA,NA,NA,NA,19.5 [18.9-20.1],19.51958776,18.91026428,20.06803213,NA,2024-08-02T10:09:37.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
11699,WHOSIS_000015,COUNTRY,BHS,AMR,YEAR,Americas,SEX,SEX_MLE,2018,NA,NA,NA,NA,NA,NA,19.4 [18.8-19.9],19.3504292,18.84342043,19.90596352,NA,2024-08-02T10:09:37.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
11784,WHOSIS_000015,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2006,NA,NA,NA,NA,NA,NA,17.6 [17.3-17.9],17.60927581,17.29701626,17.9296773,NA,2024-08-02T10:09:37.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
11904,WHOSIS_000015,COUNTRY,PNG,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2006,NA,NA,NA,NA,NA,NA,16.3 [15.7-16.7],16.25458857,15.72934879,16.7011144,NA,2024-08-02T10:09:37.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
13228,WHOSIS_000015,COUNTRY,GNB,AFR,YEAR,Africa,SEX,SEX_BTSX,2013,NA,NA,NA,NA,NA,NA,14.0 [13.5-14.5],13.96302625,13.52612096,14.46595013,NA,2024-08-02T10:09:37.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
