iso3c,regime,n_years,avg_inst_capacity,avg_ghe
CAF,High,8,-1.3489876091480224,1.09281872875
HTI,High,6,-1.3090325593948366,0.6429628966666666
ZWE,High,11,-1.2949827150865036,1.4750238818181818
LBR,High,15,-1.2864892244338995,1.1314006913333334
AFG,High,9,-1.2848704324828257,0.5275458444444444
BDI,High,18,-1.230422596136729,2.1943993044444445
COG,High,22,-1.20848253098401,0.8368778986363636
SDN,High,10,-1.2042804121971127,1.661900806
GNQ,High,22,-1.20411082831296,0.4627319368181818
SLE,High,20,-1.1982934415340416,1.094036681
IRQ,High,15,-1.1947091341018667,1.9592851826666666
MMR,High,10,-1.181751835346222,0.67633276
ERI,High,10,-1.1595386147499083,1.400654828
TCD,High,7,-1.1464805177279889,1.1849885742857142
GNB,High,12,-1.1433631529410686,0.50354788083333335
TGO,High,18,-1.141174465417862,0.8014004483333333
COM,High,4,-1.1150040328502673,0.8734213574999999
AGO,High,22,-1.1081416850740258,1.5269197118181819
LBY,High,13,-1.0925156336564288,2.2905532846153847
TKM,High,16,-1.0815640389919283,1.050328025
GIN,High,22,-1.0598480078307062,0.4905675877272727
NGA,High,22,-1.0493270646442066,0.633595485
TLS,High,20,-1.0289901256561285,3.8717927260000002
TJK,High,22,-1.0180903537706898,1.480937816818182
YEM,High,13,-0.9958366430722749,1.6378065523076923
CIV,High,22,-0.944051184437492,0.81241553
MLI,High,22,-0.9259979074651546,1.06893184
SLB,High,19,-0.9233032559093672,3.589410292631579
SYR,High,14,-0.9048952609300612,1.7850048121428572
DJI,High,22,-0.9043261869387186,1.5160615718181818
MDG,High,22,-0.9024604409933089,1.6193841022727273
NPL,High,22,-0.8863206194205717,0.953071010909091
CMR,High,22,-0.8739901347593827,0.5476923554545454
BLR,High,22,-0.86493037099188,3.9820736004545454
PRY,High,22,-0.8473910255865619,2.6204410581818185
NIC,High,22,-0.8443364121697168,3.8721323772727274
UZB,High,22,-0.8233955908905385,2.1623743068181818
PSE,High,22,-0.8072152273221453,3.363093713181818
KHM,High,22,-0.7881018275564369,1.1279549377272726
GAB,High,22,-0.7802249829877504,1.5043378472727271
LAO,High,22,-0.7781962792981753,0.7832146640909091
ZMB,High,22,-0.7715106308460236,1.8599345831818181
BGD,High,22,-0.7700376835736361,0.44472604681818184
MRT,High,22,-0.7538950626145708,0.9856449254545454
NER,High,22,-0.7505133206194097,1.5117241904545455
BIH,High,22,-0.7426496513865216,5.835605491818182
KGZ,High,22,-0.7366191812536933,2.929326014090909
STP,High,22,-0.7350116019899194,2.9477444622727274
GTM,High,22,-0.7135408358140425,2.1494575795454547
GMB,High,22,-0.7038250497796318,1.0527636090909092
ETH,High,22,-0.6984848258170213,1.0999254295454546
PNG,High,22,-0.6938526156273754,1.5980016045454546
MOZ,High,22,-0.6925256469032981,1.5540123531818182
BFA,High,22,-0.6923995099284432,1.72302299
MWI,High,22,-0.6873876736922696,1.2736854259090908
HND,High,22,-0.6838245012543418,3.180255543181818
PAK,High,22,-0.6396059366789731,0.70228042
UKR,High,21,-0.6157241591385433,3.5251090180952382
TZA,High,22,-0.6092467687346719,1.486396724090909
MDA,High,22,-0.6013349443674088,4.388651196363637
ECU,High,22,-0.6007921052249994,3.3135307154545455
SWZ,High,22,-0.5981573543765327,3.428872303181818
UGA,High,22,-0.5762735876170072,0.9993778222727273
IRN,High,22,-0.5691839503971015,2.4915009195454547
TUV,High,19,-0.5581901518529969,12.212929474210526
LSO,High,22,-0.5478903747756375,4.689814805909091
BOL,High,22,-0.5474598448384891,3.6729029954545456
DZA,High,22,-0.5346382747996936,3.134243212727273
KEN,High,22,-0.5293953987685117,1.5863448309090908
MHL,High,14,-0.5270271946543033,5.801175559285714
BEN,High,22,-0.5225021087310532,0.7354311240909092
AZE,High,22,-0.5207732953131199,1.0742326918181817
DOM,High,22,-0.4540596388555555,2.2684882386363636
EGY,High,22,-0.4503845220262354,1.5476949163636364
VUT,High,19,-0.4471404011312284,1.9456201142105263
MNG,High,22,-0.40959219160405075,2.7864686154545453
KIR,High,19,-0.40927751362323767,8.578570165263159
RUS,High,22,-0.39480521766976884,3.3829296063636365
LBN,High,21,-0.3884004253361907,3.2294755266666666
KAZ,High,22,-0.38430996323851,2.105925202272727
PER,High,22,-0.37219673056494107,2.8275452531818184
SEN,High,22,-0.3192102124237202,1.2874335109090909
SUR,High,22,-0.309157925107601,2.8767862868181817
SLV,High,22,-0.3054111972027882,4.628738003181818
CUB,High,20,-0.2939709914033301,9.0010240315
ALB,High,22,-0.2691115554083478,2.676056666818182
BLZ,High,22,-0.2583597918803042,2.7327444395454545
RWA,High,22,-0.2524265721016988,2.049557920909091
NRU,High,16,-0.2381402297469322,9.155777066875
TON,High,19,-0.23438359147525936,2.960379740526316
BRA,High,22,-0.22540969757193866,3.7049142122727274
MAR,High,22,-0.21863012473014273,1.7011891113636364
GUY,High,22,-0.2095456518740817,2.200454895909091
ARM,High,22,-0.2086577283387834,1.5432360636363636
FJI,High,22,-0.19800828570838666,2.3737962136363637
MKD,High,22,-0.18229397068816156,4.289140095454545
IDN,High,22,-0.1818908894095909,1.0587740222727273
SRB,High,22,-0.17797065497143194,5.397275275909091
LKA,High,22,-0.16997290387834335,1.7739728909090908
GHA,High,22,-0.16026526223868132,1.7001166968181818
