Table,File_Size_KB,Created
Table1_Main_Causal_Results.csv,0.8935546875,2025-10-27T15:07:06Z
Table1_Main_Causal_Results.tex,2.4453125,2025-10-27T15:07:06Z
Table2_Effect_Heterogeneity.csv,0.48828125,2025-10-27T17:18:35Z
Table2_Effect_Heterogeneity.tex,1.591796875,2025-10-27T15:07:06Z
Table_1_Sample_Characteristics_COMPLETE.csv,1.94921875,2025-11-06T08:25:07Z
Table_2_Main_Results.csv,0.763671875,2025-11-06T04:55:22Z
Table_3_Heterogeneity_Income.csv,0,2025-11-05T16:40:41Z
Table_3_Robustness_COMPLETE.csv,0.9580078125,2025-11-06T08:25:07Z
Table_4_Mechanism_Pathways_COMPLETE.csv,0.208984375,2025-11-06T08:25:07Z
Table_Index_COMPLETE.csv,1.306640625,2025-11-06T08:25:08Z
Table_S10_ML_Validation_COMPLETE.csv,0.4990234375,2025-11-06T08:25:07Z
Table_S11_Mediation_COMPLETE.csv,0.1953125,2025-11-06T08:25:07Z
Table_S12_First_Stage_COMPLETE.csv,0.2421875,2025-11-06T08:25:07Z
Table_S13_Income_Heterogeneity_COMPLETE.csv,0,2025-11-05T16:53:47Z
Table_S1_Data_Sources_COMPLETE.csv,0.78515625,2025-11-06T08:25:07Z
Table_S2_Complete_Regression_COMPLETE.csv,0.3486328125,2025-11-06T08:25:07Z
Table_S3_PCA_Weights_COMPLETE.csv,0.15234375,2025-11-06T08:25:07Z
Table_S3_Threshold_Analysis.csv,0.2587890625,2025-11-05T17:43:44Z
Table_S4_Control_Variables_COMPLETE.csv,1.484375,2025-11-06T08:25:07Z
Table_S5_ML_Comparison.csv,0.357421875,2025-11-05T16:53:29Z
Table_S5_Variable_Mapping_COMPLETE.csv,0.15625,2025-11-06T08:25:07Z
Table_S6_IV_Analysis_COMPLETE.csv,0.1396484375,2025-11-06T08:25:07Z
Table_S7_Heterogeneity_Region.csv,0.7861328125,2025-11-06T04:59:32Z
Table_S7_Robustness_Extended_COMPLETE.csv,1.1796875,2025-11-06T08:25:07Z
Table_S8_Heterogeneity_COMPLETE.csv,0.4150390625,2025-11-06T08:25:07Z
Table_S8_Heterogeneity_Temporal.csv,0.3837890625,2025-11-06T04:59:32Z
Table_S9_Mechanism_COMPLETE.csv,0.208984375,2025-11-06T08:25:07Z
Table_S9_Robustness_Checks.csv,1.1796875,2025-11-06T04:59:34Z
table_s14_threshold_country_mapping.csv,1.4091796875,2025-11-02T15:38:10Z
table_s14_threshold_country_mapping.tex,1.4091796875,2025-11-02T15:38:20Z
table_s1_sample_characteristics.csv,0.4326171875,2025-10-27T16:58:42Z
table_s1_sample_characteristics.tex,1.337890625,2025-10-27T16:36:22Z
table_s2_regression_results.csv,0.60546875,2025-10-27T17:18:35Z
table_s2_regression_results.tex,1.8603515625,2025-10-27T16:36:23Z
table_s3_pca_weights.csv,0.2265625,2025-10-27T16:58:43Z
table_s3_pca_weights.tex,0.998046875,2025-10-27T16:36:23Z
table_s4_control_variables.csv,0.935546875,2025-10-27T16:58:43Z
table_s4_control_variables.tex,2.2001953125,2025-10-27T16:36:23Z
table_s5_iv_analysis.csv,0.42578125,2025-10-27T16:58:44Z
table_s5_iv_analysis.tex,1.5966796875,2025-10-27T16:36:23Z
table_s6_robustness_analysis.csv,0.5224609375,2025-10-27T16:58:45Z
table_s6_robustness_analysis.tex,1.787109375,2025-10-27T16:36:23Z
table_s7_income_heterogeneity.csv,0.3017578125,2025-10-27T17:18:35Z
table_s7_income_heterogeneity.tex,1.2890625,2025-10-27T16:36:23Z
table_s7_methodology.csv,0.431640625,2025-10-24T18:30:27Z
table_s7_threshold_estimates.csv,0.5087890625,2025-10-24T18:30:27Z
table_s8_threshold_analysis.csv,0.22265625,2025-10-27T16:58:46Z
table_s8_threshold_analysis.tex,0.96484375,2025-10-27T16:36:23Z
table_s9_gmm_diagnostics.csv,0.4248046875,2025-10-28T06:47:00Z
table_s9_gmm_results.csv,0.16015625,2025-10-28T06:46:50Z
table_s9_mechanism_analysis.tex,2.494140625,2025-10-28T06:47:55Z
table_s9_mechanism_pathway_analysis.csv,0.34375,2025-10-28T06:40:53Z
test_table_s1.csv,0.4794921875,2025-10-27T16:52:35Z
